split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_child_weight,params,experiment_name,run_number,param_reg_alpha,param_reg_lambda,param_colsample_bytree,param_subsample
0.8536047212697302,0.5365652311914293,0.22225752251537434,0.5374758249921779,0.25774721883988777,237,0.20804961522420248,0.00144413889587554,0.0009480317433675133,6.351109769045384e-05,1.0,1.0,"OrderedDict([('max_depth', 1), ('min_child_weight', 1)])",BO for 1 group,7,,,,
0.8357341183460594,0.5639546636364192,0.223546227892618,0.5410783366250321,0.2504475967244879,236,0.20809491475423172,0.0015818908965729182,0.0009547869364420573,6.777697830440378e-05,1.0,8.0,"OrderedDict([('max_depth', 1), ('min_child_weight', 8)])",BO for 1 group,7,,,,
0.6525220346303608,0.6488302642698514,0.2676336717460389,0.5229953235487503,0.18057424548858128,240,0.6779868602752686,0.008600912308824078,0.0016113917032877605,5.5053644071297776e-05,10.0,1.0,"OrderedDict([('max_depth', 10), ('min_child_weight', 1)])",BO for 1 group,7,,,,
0.612817980831015,0.6464522549453467,0.2439136843412573,0.5010613067058731,0.18234855061051028,243,0.8611520926157633,0.04174532002155665,0.0017346541086832685,7.146974433346248e-05,12.0,1.0,"OrderedDict([('max_depth', 12), ('min_child_weight', 1)])",BO for 1 group,7,,,,
0.8424745663016394,0.5851013231528011,0.204416602655775,0.5439974973700717,0.26210256848984337,233,0.20682970682779947,0.002666716559512961,0.0010608832041422527,0.00021929501339603216,1.0,20.0,"OrderedDict([('max_depth', 1), ('min_child_weight', 20)])",BO for 1 group,7,,,,
0.8472479320674869,0.5404826592040388,0.2136104104893174,0.533780333920281,0.25872484491068665,238,0.20746978123982748,0.002534130162814643,0.0009520848592122396,0.00010948377986664129,1.0,4.0,"OrderedDict([('max_depth', 1), ('min_child_weight', 4)])",BO for 1 group,7,,,,
0.7850583960277107,0.6650691217167963,0.2859867064450079,0.578704741396505,0.2127004818625076,208,0.3351474603017171,0.00158574715592421,0.0012361208597819011,7.443760823650991e-05,9.0,16.0,"OrderedDict([('max_depth', 9), ('min_child_weight', 16)])",BO for 1 group,7,,,,
0.7974696115362909,0.6498610975180271,0.290505865568081,0.5792788582074664,0.2128997405839972,203,1.0411544640858967,0.01923445368714608,0.0014929771423339846,4.6180638679210527e-05,20.0,20.0,"OrderedDict([('max_depth', 20), ('min_child_weight', 20)])",BO for 1 group,7,,,,
0.649186950155824,0.6392060780753168,0.2487212701171833,0.5123714327827747,0.18647334153897432,241,1.8693860371907551,0.0524007746631696,0.002096176147460937,3.3339409298969894e-05,20.0,1.0,"OrderedDict([('max_depth', 20), ('min_child_weight', 1)])",BO for 1 group,7,,,,
0.8254286076302569,0.6717987168207746,0.3451582004589874,0.6141285083033395,0.2002653335185558,70,1.1336356004079182,0.008875835848134122,0.0016493797302246096,5.647082161350146e-05,20.0,10.0,"OrderedDict([('max_depth', 20), ('min_child_weight', 10)])",BO for 1 group,7,,,,
0.8067508915652232,0.6699788241794755,0.3276784256842268,0.6014693804763085,0.2014907190562594,144,0.5155143737792969,0.0057162170358543785,0.0016259352366129554,5.030286745955384e-05,18.0,12.0,"OrderedDict([('max_depth', 18), ('min_child_weight', 12)])",BO for 1 group,7,,,,
0.6504604386404256,0.6636296975131504,0.280901013986094,0.5316637167132233,0.17739749557434606,239,0.3738021055857341,0.007893016108918325,0.001346270243326823,9.709430555842604e-05,6.0,1.0,"OrderedDict([('max_depth', 6), ('min_child_weight', 1)])",BO for 1 group,7,,,,
0.8489308318671481,0.5522789256875136,0.22447574956468894,0.5418951690397836,0.2550384340381298,235,0.20796004931132,0.001984964160621979,0.001002947489420573,2.5726630278245394e-05,1.0,6.0,"OrderedDict([('max_depth', 1), ('min_child_weight', 6)])",BO for 1 group,7,,,,
0.8355060311423009,0.6210334766730646,0.34106126476639986,0.5992002575272551,0.2024457521458223,155,0.5887835820515951,0.014419795226928447,0.0017042954762776696,0.00010922352697015974,16.0,5.0,"OrderedDict([('max_depth', 16), ('min_child_weight', 5)])",BO for 1 group,7,,,,
0.8371385062916789,0.5935151323073948,0.2326710043344089,0.5544415476444942,0.24831471831048355,228,0.20612621307373047,0.0027568904399777714,0.000995477040608724,6.66689668065115e-05,1.0,11.0,"OrderedDict([('max_depth', 1), ('min_child_weight', 11)])",BO for 1 group,7,,,,
0.8223053407035961,0.7096208939492425,0.32151657300384684,0.6178142692188952,0.21450515102104573,43,0.2766912778218587,0.001159614397402426,0.0011473496754964196,0.0001195466248950272,4.0,6.0,"OrderedDict([('max_depth', 4), ('min_child_weight', 6)])",BO for 1 group,7,,,,
0.8167990048817062,0.6557041413509939,0.3361330843635569,0.6028787435320857,0.1997545556892832,135,0.2977116107940674,0.003029261387753616,0.001148382822672526,6.4279739869089735e-06,5.0,8.0,"OrderedDict([('max_depth', 5), ('min_child_weight', 8)])",BO for 1 group,7,,,,
0.8076229193740346,0.6469389212140991,0.3432138254827297,0.5992585553569545,0.1925686277468185,154,1.136175553003947,0.009087644363195988,0.0017154216766357422,3.1759526442923405e-05,20.0,9.0,"OrderedDict([('max_depth', 20), ('min_child_weight', 9)])",BO for 1 group,7,,,,
0.7969532276121161,0.6985046685089439,0.33691657941464903,0.6107914918452363,0.19778545689967372,93,1.0992592970530193,0.0027114473380577893,0.0016651948293050134,1.1800047138349224e-05,20.0,11.0,"OrderedDict([('max_depth', 20), ('min_child_weight', 11)])",BO for 1 group,7,,,,
0.8297629653568264,0.6741469919808046,0.3474994532297482,0.6171364701891264,0.2009679468281873,48,0.3748135566711426,0.0039548098760302745,0.0015398661295572913,0.00011312491905513001,8.0,6.0,"OrderedDict([('max_depth', 8), ('min_child_weight', 6)])",BO for 1 group,7,,,,
0.8168886645830264,0.6361630493274755,0.35917502865466866,0.6040755808550569,0.18823327256964192,130,0.4024740060170491,0.0011967208726346645,0.001460870107014974,5.986485373724666e-05,11.0,8.0,"OrderedDict([('max_depth', 11), ('min_child_weight', 8)])",BO for 1 group,7,,,,
0.7974607166433734,0.6737743966694256,0.33397319671494663,0.6017361033425819,0.19595459858758812,140,0.3652976353963216,0.0069064238309468435,0.001401344935099284,6.398665884357898e-05,10.0,11.0,"OrderedDict([('max_depth', 10), ('min_child_weight', 11)])",BO for 1 group,7,,,,
0.7809898466453571,0.6575575075922431,0.28333421807740233,0.5739605241050009,0.21159178134238613,218,1.0799395243326824,0.012932293722916068,0.0015811920166015625,9.351440070917954e-05,20.0,15.0,"OrderedDict([('max_depth', 20), ('min_child_weight', 15)])",BO for 1 group,7,,,,
0.7974696115362909,0.6359466643191223,0.2913488782507011,0.5749217180353715,0.2110806831791844,216,0.3277500470479329,0.0018433269427965183,0.0012968381245930989,9.97380906361126e-05,11.0,20.0,"OrderedDict([('max_depth', 11), ('min_child_weight', 20)])",BO for 1 group,7,,,,
0.8083776377365921,0.6448647373112535,0.3412465912495031,0.5981629887657829,0.19354352419362766,159,0.4608290195465088,0.003199055154613405,0.001603523890177409,5.49930368111831e-05,16.0,9.0,"OrderedDict([('max_depth', 16), ('min_child_weight', 9)])",BO for 1 group,7,,,,
0.8283729741947197,0.6396519848613521,0.3694740711538986,0.6124996767366567,0.18832593498222,82,0.38905779520670575,0.011196416950268913,0.0015187263488769533,7.730573069645089e-05,8.0,5.0,"OrderedDict([('max_depth', 8), ('min_child_weight', 5)])",BO for 1 group,7,,,,
0.8024117875011094,0.6473428905824252,0.3421926956920699,0.5973157912585348,0.19118479039305766,165,0.34416961669921875,0.003999185246304279,0.0015584627787272134,0.0002553669880260422,7.0,7.0,"OrderedDict([('max_depth', 7), ('min_child_weight', 7)])",BO for 1 group,7,,,,
0.8295273672749534,0.6638526507677398,0.33135093887194106,0.6082436523048781,0.20714601772119964,108,0.4381093184153239,0.006382175036077198,0.0015358924865722654,9.743262399752432e-05,11.0,6.0,"OrderedDict([('max_depth', 11), ('min_child_weight', 6)])",BO for 1 group,7,,,,
0.8071389833408025,0.6631882523838526,0.336722025675378,0.602349753800011,0.1968062002703006,137,0.33827884991963697,0.005247052801733063,0.0012488365173339846,6.257931366671024e-05,8.0,12.0,"OrderedDict([('max_depth', 8), ('min_child_weight', 12)])",BO for 1 group,7,,,,
0.8041478226172991,0.6571893314745727,0.35746339201659205,0.6062668487028212,0.18587911766162965,118,1.2091511885325117,0.0072400776555729095,0.0018344720204671228,0.00011882869576583233,20.0,7.0,"OrderedDict([('max_depth', 20), ('min_child_weight', 7)])",BO for 1 group,7,,,,
0.8311013717663525,0.645157305312474,0.3403354972981951,0.6055313914590071,0.202304136837198,121,0.3598473072052002,0.005806751529176397,0.0014185905456542967,2.8812830209054682e-05,7.0,5.0,"OrderedDict([('max_depth', 7), ('min_child_weight', 5)])",BO for 1 group,7,,,,
0.8057562090352561,0.6520937064076422,0.3567161344129274,0.6048553499519419,0.1863381225884521,126,0.4629551569620768,0.006959020977757215,0.0016118685404459634,8.133588082830875e-05,14.0,7.0,"OrderedDict([('max_depth', 14), ('min_child_weight', 7)])",BO for 1 group,7,,,,
0.7974696115362909,0.6498610975180271,0.290505865568081,0.5792788582074664,0.2128997405839972,203,0.36038804054260254,0.0011774017593287154,0.001305977503458659,7.3507540774511e-05,16.0,20.0,"OrderedDict([('max_depth', 16), ('min_child_weight', 20)])",BO for 1 group,7,,,,
0.8071061800037042,0.6343427750532735,0.3573397850170233,0.5995962466913336,0.18525287841170696,152,0.35259079933166504,0.0019586536259511584,0.0014206568400065105,4.172998707003664e-05,8.0,9.0,"OrderedDict([('max_depth', 8), ('min_child_weight', 9)])",BO for 1 group,7,,,,
0.8382713957959771,0.5874911908526668,0.20632009003618268,0.5440275588949421,0.2598171519743512,232,0.20701177914937333,0.004389675809336202,0.0008684794108072916,5.751814935463812e-05,1.0,15.0,"OrderedDict([('max_depth', 1), ('min_child_weight', 15)])",BO for 1 group,7,,,,
0.7889322878758013,0.6408630493893411,0.2832462805290795,0.571013872598074,0.212271469476204,224,0.2962733109792073,0.004702909159187258,0.001268943150838216,0.00010977138221417316,6.0,20.0,"OrderedDict([('max_depth', 6), ('min_child_weight', 20)])",BO for 1 group,7,,,,
0.7981475173904837,0.694256863061121,0.3371252283669266,0.6098432029395104,0.1974498033348816,99,0.4150476455688477,0.006709989431793179,0.0016430219014485676,6.810327932476565e-05,15.0,11.0,"OrderedDict([('max_depth', 15), ('min_child_weight', 11)])",BO for 1 group,7,,,,
0.7971346607808034,0.6918776355771499,0.33601513046140996,0.6083424756064545,0.19730078142097626,107,0.32038362820943195,0.003074149412901018,0.0013076464335123699,0.00010458894047941701,7.0,13.0,"OrderedDict([('max_depth', 7), ('min_child_weight', 13)])",BO for 1 group,7,,,,
0.8274954516443682,0.6257175422260572,0.34364005076831483,0.5989510148795801,0.19843781138159106,158,0.4840275446573893,0.019106628919264082,0.001642465591430664,9.912938769762275e-05,12.0,5.0,"OrderedDict([('max_depth', 12), ('min_child_weight', 5)])",BO for 1 group,7,,,,
0.8168470296353103,0.644342830997672,0.3577118541091663,0.6063005715807162,0.18936153688560234,117,0.5097030798594157,0.0035552639684912368,0.0015804767608642578,4.994551520307176e-05,17.0,8.0,"OrderedDict([('max_depth', 17), ('min_child_weight', 8)])",BO for 1 group,7,,,,
0.8292593139576834,0.6827167250140256,0.34117003154329106,0.6177153568383333,0.20449396128082128,45,0.32637476921081543,0.0016766512938394605,0.0013116200764973958,0.00011091296761696166,6.0,6.0,"OrderedDict([('max_depth', 6), ('min_child_weight', 6)])",BO for 1 group,7,,,,
0.8195216189860329,0.6629890866865538,0.3555575267779597,0.6126894108168489,0.19272296655919247,81,0.4009079933166504,0.003930651719853432,0.0014753341674804688,8.800907874084027e-05,13.0,10.0,"OrderedDict([('max_depth', 13), ('min_child_weight', 10)])",BO for 1 group,7,,,,
0.8198749617875741,0.6789960235352901,0.3548300513148174,0.6179003455458938,0.1947069654478948,38,1.2352832158406577,0.006914208029075165,0.0017661253611246746,7.388984589653538e-05,20.0,6.0,"OrderedDict([('max_depth', 20), ('min_child_weight', 6)])",BO for 1 group,7,,,,
0.805868377595993,0.6668722600064142,0.3340785108881399,0.602273049496849,0.19794984731979928,139,0.3994545141855876,0.006697436479507445,0.0014850298563639324,6.139462302621489e-05,15.0,12.0,"OrderedDict([('max_depth', 15), ('min_child_weight', 12)])",BO for 1 group,7,,,,
0.8367889079140652,0.6540987695284937,0.3641692723208956,0.6183523165878181,0.1945947698174081,36,0.3308384418487549,0.002449938391033293,0.0015766620635986328,0.00040132072462160473,6.0,5.0,"OrderedDict([('max_depth', 6), ('min_child_weight', 5)])",BO for 1 group,7,,,,
0.8067508915652232,0.6699788241794755,0.3276784256842268,0.6014693804763085,0.2014907190562594,144,1.097567796707153,0.01041546180269302,0.0017042954762776696,3.887823343456229e-05,20.0,12.0,"OrderedDict([('max_depth', 20), ('min_child_weight', 12)])",BO for 1 group,7,,,,
0.8350891154982452,0.6131279998093787,0.3426104088106765,0.5969425080394335,0.2013790732971714,168,1.2885757287343342,0.011466151824616577,0.001816113789876302,5.0898256341901285e-05,20.0,5.0,"OrderedDict([('max_depth', 20), ('min_child_weight', 5)])",BO for 1 group,7,,,,
0.7957069158768917,0.6827827598173392,0.3363218062650347,0.6049371606530886,0.1954543812337555,125,0.3059796492258708,0.0016321693668199262,0.0012463728586832685,0.00011519381980802194,6.0,11.0,"OrderedDict([('max_depth', 6), ('min_child_weight', 11)])",BO for 1 group,7,,,,
0.7861866241731637,0.6872175227094748,0.3518491398263228,0.6084177622363204,0.18586610640486234,106,0.3789496421813965,0.002542788107356514,0.0014446576436360676,5.498373319607032e-05,12.0,11.0,"OrderedDict([('max_depth', 12), ('min_child_weight', 11)])",BO for 1 group,7,,,,
0.8331452435069492,0.6839245021815149,0.35812433618676165,0.6250646939584086,0.1983424200145953,12,0.30246631304423016,0.006788142781228228,0.0012558301289876301,7.978069766414931e-05,5.0,6.0,"OrderedDict([('max_depth', 5), ('min_child_weight', 6)])",BO for 1 group,7,,,,
0.7865470498201211,0.6733561853135053,0.31245405932437564,0.5907857648193341,0.2021623879702288,185,0.4033231735229492,0.0008109103657087267,0.0014146963755289714,3.0304075821141588e-05,17.0,17.0,"OrderedDict([('max_depth', 17), ('min_child_weight', 17)])",BO for 1 group,7,,,,
0.8275597612712752,0.6622078383367025,0.3541385248062281,0.6146353748047352,0.19617895104368152,64,0.3030985991160075,0.005622393033309732,0.0012131532033284509,9.25322815456133e-05,5.0,4.0,"OrderedDict([('max_depth', 5), ('min_child_weight', 4)])",BO for 1 group,7,,,,
0.7747096407646417,0.6594222240672774,0.2859141096847713,0.5733486581722301,0.2086252810828223,221,0.30101434389750165,0.003027212346128425,0.0013873577117919922,4.308235379196078e-05,6.0,15.0,"OrderedDict([('max_depth', 6), ('min_child_weight', 15)])",BO for 1 group,7,,,,
0.8081405063997423,0.6482059581980344,0.309295044293585,0.5885471696304538,0.20797608365064452,190,1.0387562910715742,0.007702814820629155,0.0015641053517659509,9.087665038106441e-05,20.0,18.0,"OrderedDict([('max_depth', 20), ('min_child_weight', 18)])",BO for 1 group,7,,,,
0.8252232946326623,0.6717987168207746,0.34436231550206803,0.6137947756518349,0.2005495170873532,73,0.5343706607818604,0.004182318191686729,0.0018200874328613281,0.00023783763998452002,18.0,10.0,"OrderedDict([('max_depth', 18), ('min_child_weight', 10)])",BO for 1 group,7,,,,
0.8279511958815144,0.5726716429783066,0.3165650546084142,0.5723959644894118,0.2087726089481404,222,0.4297433694203695,0.027740205239805568,0.0015123685201009116,5.415140933380289e-05,9.0,4.0,"OrderedDict([('max_depth', 9), ('min_child_weight', 4)])",BO for 1 group,7,,,,
0.8251249349108912,0.6795874703860141,0.3572897804628551,0.6206673952532534,0.19548420971968056,30,0.4866743087768554,0.006771060718003754,0.0016597906748453775,2.9100309112561017e-05,14.0,6.0,"OrderedDict([('max_depth', 14), ('min_child_weight', 6)])",BO for 1 group,7,,,,
0.8147242950988949,0.6426185908992471,0.3699406801771771,0.6090945220584397,0.1831229339713992,103,0.4239706198374431,0.00291926986466243,0.0014641284942626953,4.59478233663248e-05,13.0,8.0,"OrderedDict([('max_depth', 13), ('min_child_weight', 8)])",BO for 1 group,7,,,,
0.8341499512157997,0.6175528330438369,0.3463722378988132,0.5993583407194832,0.19954958292012331,153,0.5250901381174723,0.007276752954594305,0.0015925566355387366,5.5144430065498404e-05,14.0,5.0,"OrderedDict([('max_depth', 14), ('min_child_weight', 5)])",BO for 1 group,7,,,,
0.8210009157178318,0.705649988457101,0.3477428811320488,0.6247979284356605,0.2014879376576218,16,0.2686161200205485,0.005776286328423466,0.0012048085530598958,0.00012199583571451552,4.0,10.0,"OrderedDict([('max_depth', 4), ('min_child_weight', 10)])",BO for 1 group,7,,,,
0.8315700136130896,0.6562804153505533,0.33872243468081986,0.6088576212148209,0.20397936998232608,104,0.2717662652333577,0.004480646890422428,0.001209417978922526,5.932562476752055e-05,4.0,9.0,"OrderedDict([('max_depth', 4), ('min_child_weight', 9)])",BO for 1 group,7,,,,
0.8074544171742309,0.6776866820088162,0.3586108358452875,0.6145839783427782,0.18859410300522972,67,0.2957096099853516,0.0038460106578442326,0.0011148452758789062,6.9182482378706496e-06,5.0,7.0,"OrderedDict([('max_depth', 5), ('min_child_weight', 7)])",BO for 1 group,7,,,,
0.8165150653970739,0.6851215434556981,0.35560175193259713,0.6190794535951231,0.19387528440910146,31,0.2886318365732829,0.0022186679176396727,0.001201311747233073,9.022861448753898e-05,5.0,11.0,"OrderedDict([('max_depth', 5), ('min_child_weight', 11)])",BO for 1 group,7,,,,
0.8242961270833495,0.676419716477118,0.3464488634989644,0.6157215690198107,0.1997460064804517,55,0.2761678695678711,0.0033772128148986647,0.0011164347330729167,2.435476872969856e-05,4.0,5.0,"OrderedDict([('max_depth', 4), ('min_child_weight', 5)])",BO for 1 group,7,,,,
0.7944273860637945,0.6919671270615677,0.329886060782133,0.6054268579691651,0.19927631462293707,122,0.34796826044718426,0.0038070484026486687,0.0013661384582519533,0.00012789121642482518,10.0,13.0,"OrderedDict([('max_depth', 10), ('min_child_weight', 13)])",BO for 1 group,7,,,,
0.8082830293375773,0.652595942444405,0.3553466678379585,0.6054085465399802,0.18789682388890813,123,0.6011662483215332,0.005941004862389975,0.0017313957214355467,6.814462905607237e-05,18.0,7.0,"OrderedDict([('max_depth', 18), ('min_child_weight', 7)])",BO for 1 group,7,,,,
0.7842653551690295,0.6840519835270655,0.3213751456062515,0.5965641614341155,0.19884235931711314,170,0.42450785636901855,0.0027999346030325744,0.0014350414276123047,5.063126014415126e-05,17.0,14.0,"OrderedDict([('max_depth', 17), ('min_child_weight', 14)])",BO for 1 group,7,,,,
0.8030626866115035,0.7191344749085835,0.3438929583328025,0.6220300399509632,0.1996349390065327,27,0.2707471052805583,0.004286882516563423,0.0012470086415608725,0.0002013119226798834,4.0,11.0,"OrderedDict([('max_depth', 4), ('min_child_weight', 11)])",BO for 1 group,7,,,,
0.8136443867264476,0.6853684010514105,0.33447791246560354,0.6111635667478206,0.2025337759311756,91,0.29082194964090985,0.003677037491466596,0.0012794335683186848,0.00010224874479034432,5.0,10.0,"OrderedDict([('max_depth', 5), ('min_child_weight', 10)])",BO for 1 group,7,,,,
0.8110461062188692,0.6647257145920971,0.33971910630440305,0.6051636423717898,0.1969737978301947,124,0.3791421254475911,0.0019012349447990165,0.0016140143076578775,0.00018243475739199242,13.0,12.0,"OrderedDict([('max_depth', 13), ('min_child_weight', 12)])",BO for 1 group,7,,,,
0.8081405063997423,0.6482059581980344,0.309295044293585,0.5885471696304538,0.20797608365064452,190,0.34283049901326496,0.008320249491206723,0.0014564196268717444,6.801725450576291e-05,14.0,18.0,"OrderedDict([('max_depth', 14), ('min_child_weight', 18)])",BO for 1 group,7,,,,
0.7988924768303348,0.6970288655778886,0.33406277774392545,0.6099947067173829,0.19949581598721525,98,0.4571331342061361,0.001504968707976332,0.0017110506693522134,0.00021764019530513302,17.0,11.0,"OrderedDict([('max_depth', 17), ('min_child_weight', 11)])",BO for 1 group,7,,,,
0.7995366079921608,0.6737168768561376,0.3290510994259157,0.6007681947580713,0.19888067797483172,149,0.28948132197062176,0.001072624675682459,0.0012408097585042315,3.051530147378592e-05,5.0,12.0,"OrderedDict([('max_depth', 5), ('min_child_weight', 12)])",BO for 1 group,7,,,,
0.8197252898300009,0.6400005503787954,0.3500014669852075,0.6032424357313347,0.193517418133026,134,0.3997867107391357,0.00261284332403271,0.0014692942301432292,3.751708243040245e-05,10.0,7.0,"OrderedDict([('max_depth', 10), ('min_child_weight', 7)])",BO for 1 group,7,,,,
0.8106437033514462,0.644859761533917,0.34394273700557176,0.5998154006303117,0.19317383161969934,151,0.4265527725219727,0.005315707977946007,0.0015558401743570964,7.115648549405667e-05,14.0,9.0,"OrderedDict([('max_depth', 14), ('min_child_weight', 9)])",BO for 1 group,7,,,,
0.8424535498997989,0.6881788708375216,0.32306567269607944,0.6178993644778,0.21778483036730106,40,0.2754956881205241,0.0045123817333631,0.0010902086893717444,2.1965872875016743e-05,4.0,4.0,"OrderedDict([('max_depth', 4), ('min_child_weight', 4)])",BO for 1 group,7,,,,
0.8284643731065555,0.610133116220736,0.35368496798208193,0.5974274857697911,0.19403598578005105,163,0.7669916947682699,0.009752831783570679,0.0017515023549397786,3.839172550588259e-05,17.0,3.0,"OrderedDict([('max_depth', 17), ('min_child_weight', 3)])",BO for 1 group,7,,,,
0.8066855544173931,0.6454276488303112,0.3122113830510459,0.5881081954329167,0.20589692622028294,195,0.31667717297871906,0.006204133012412897,0.0013821919759114587,0.00010269658701658434,8.0,18.0,"OrderedDict([('max_depth', 8), ('min_child_weight', 18)])",BO for 1 group,7,,,,
0.8460748984811026,0.585196057513957,0.204416602655775,0.5452291862169448,0.2634759384982746,231,0.20453993479410806,0.006440356796244004,0.0009623368581136068,0.00015239309917690493,1.0,18.0,"OrderedDict([('max_depth', 1), ('min_child_weight', 18)])",BO for 1 group,7,,,,
0.7926022515640024,0.6437284746853261,0.2929316409003596,0.5764207890498961,0.20946825248621465,212,0.4542536735534668,0.002545746960904446,0.0014438629150390625,4.735155445345258e-05,18.0,19.0,"OrderedDict([('max_depth', 18), ('min_child_weight', 19)])",BO for 1 group,7,,,,
0.8203176700412382,0.6636363655416468,0.34545041673793697,0.6098014841069407,0.1975658082922786,101,0.38021278381347656,0.006031186360632222,0.0014642874399820964,7.157253560388337e-05,11.0,10.0,"OrderedDict([('max_depth', 11), ('min_child_weight', 10)])",BO for 1 group,7,,,,
0.8076077203263999,0.626664503630308,0.3063188363448129,0.5801970201005071,0.20727124992799573,202,0.2672600746154785,0.0034150900226000234,0.0011755625406901042,0.00017023847125456209,4.0,19.0,"OrderedDict([('max_depth', 4), ('min_child_weight', 19)])",BO for 1 group,7,,,,
0.8384547662779006,0.7043848524560985,0.3141409231658774,0.6189935139666255,0.2224035551821548,32,0.2790384292602539,0.00651757295493134,0.0011270840962727866,6.724991321676103e-05,4.0,3.0,"OrderedDict([('max_depth', 4), ('min_child_weight', 3)])",BO for 1 group,7,,,,
0.8095002125223609,0.6465676937665448,0.31984388763043115,0.5919705979731122,0.20359512318729656,182,0.3313719431559245,0.007416951150977187,0.0013427734375,9.074596574581216e-05,11.0,18.0,"OrderedDict([('max_depth', 11), ('min_child_weight', 18)])",BO for 1 group,7,,,,
0.8369198067288598,0.7039602342365916,0.3058283131504316,0.6155694513719611,0.2256460968115161,58,0.2514790693918864,0.0047416293814971575,0.0011208057403564453,4.330038484476658e-05,3.0,10.0,"OrderedDict([('max_depth', 3), ('min_child_weight', 10)])",BO for 1 group,7,,,,
0.8293518649467214,0.6169544766639447,0.3566652077529925,0.6009905164545528,0.19330339709279248,148,1.5119183858235676,0.00990498655513818,0.002882242202758789,0.0010516527764493245,20.0,3.0,"OrderedDict([('max_depth', 20), ('min_child_weight', 3)])",BO for 1 group,7,,,,
0.8190161451068125,0.678354403758052,0.3546437363329803,0.6173380950659483,0.1944268087694533,47,0.5339922110239664,0.001418643789244977,0.0017232100168863929,7.019509784291202e-05,16.0,6.0,"OrderedDict([('max_depth', 16), ('min_child_weight', 6)])",BO for 1 group,7,,,,
0.8360188131991024,0.6700321383282384,0.32224064055885204,0.6094305306953977,0.21408163366054603,102,0.3112700780232747,0.007336323449139688,0.001314719518025716,0.00014231177270679482,5.0,3.0,"OrderedDict([('max_depth', 5), ('min_child_weight', 3)])",BO for 1 group,7,,,,
0.7964405582207923,0.6881206796521978,0.3491655747729291,0.611242270881973,0.19051936910430373,90,0.3885122934977214,0.004388873981832871,0.0019354820251464844,0.000311689658072887,15.0,13.0,"OrderedDict([('max_depth', 15), ('min_child_weight', 13)])",BO for 1 group,7,,,,
